date,phong_ban,sum_duration
2020-04-19,wo_ktts,24.0
2020-04-20,wo_noc,11131.21
2020-04-20,wo_vt_cntt,144.0
2020-04-20,wo_ksnn,35602.63
2020-04-20,wo_co_dien,37165.04
2020-04-20,wo_others,164457.48
2020-04-20,wo_ktts,24.0
2020-04-21,wo_ksnn,35099.85
2020-04-21,wo_ktts,24.0
2020-04-21,wo_vt_cntt,144.0
2020-04-21,wo_noc,11061.49
2020-04-21,wo_co_dien,35588.59
2020-04-21,wo_others,164515.57
2020-04-22,wo_ksnn,34275.07
2020-04-22,wo_noc,10547.16
2020-04-22,wo_ktts,24.0
2020-04-22,wo_others,168707.2
2020-04-22,wo_vt_cntt,144.0
2020-04-22,wo_co_dien,35479.21
2020-04-23,wo_vt_cntt,144.0
2020-04-23,wo_ksnn,33535.65
2020-04-23,wo_ktts,24.0
2020-04-23,wo_co_dien,34447.04
2020-04-23,wo_others,165675.53
2020-04-23,wo_noc,9935.05
2020-04-24,wo_noc,9610.06
2020-04-24,wo_co_dien,33527.54
2020-04-24,wo_ktts,24.0
2020-04-24,wo_vt_cntt,144.0
2020-04-24,wo_ksnn,32821.54
2020-04-24,wo_others,161001.07
2020-04-25,wo_ktts,24.0
2020-04-25,wo_others,155658.65
2020-04-25,wo_ksnn,31749.95
2020-04-25,wo_co_dien,32730.31
2020-04-25,wo_vt_cntt,144.0
2020-04-25,wo_noc,9241.73
2020-04-26,wo_ksnn,31026.87
2020-04-26,wo_ktts,24.0
2020-04-26,wo_others,151645.77
2020-04-26,wo_co_dien,31908.2
2020-04-26,wo_noc,9021.05
2020-04-26,wo_vt_cntt,144.0
2020-04-27,wo_co_dien,30977.66
2020-04-27,wo_others,147436.89
2020-04-27,wo_ktts,24.0
2020-04-27,wo_vt_cntt,144.0
2020-04-27,wo_noc,8963.11
2020-04-27,wo_ksnn,30531.98
2020-04-28,wo_ksnn,31573.23
2020-04-28,wo_noc,9262.24
2020-04-28,wo_co_dien,26202.35
2020-04-28,wo_vt_cntt,144.0
2020-04-28,wo_ktts,24.0
2020-04-28,wo_others,139061.87
2020-04-29,wo_ktts,24.0
2020-04-29,wo_others,131344.98
2020-04-29,wo_co_dien,21950.81
2020-04-29,wo_vt_cntt,144.0
2020-04-29,wo_ksnn,31496.63
2020-04-29,wo_noc,9723.75
2020-04-30,wo_ksnn,31113.89
2020-04-30,wo_others,127370.25
2020-04-30,wo_co_dien,18121.15
2020-04-30,wo_noc,9271.68
2020-04-30,wo_vt_cntt,144.0
2020-04-30,wo_ktts,24.0
2020-05-01,wo_others,125946.85
2020-05-01,wo_co_dien,15984.72
2020-05-01,wo_noc,8886.55
2020-05-01,wo_ktts,24.0
2020-05-01,wo_vt_cntt,144.0
2020-05-01,wo_ksnn,30249.63
2020-05-02,wo_co_dien,175268.65
2020-05-02,wo_ksnn,29439.54
2020-05-02,wo_others,126092.69
2020-05-02,wo_noc,9455.51
2020-05-02,wo_ktts,24.0
2020-05-02,wo_vt_cntt,144.0
2020-05-03,wo_vt_cntt,144.0
2020-05-03,wo_noc,10909.42
2020-05-03,wo_co_dien,291917.55
2020-05-03,wo_ktts,24.0
2020-05-03,wo_others,125793.64
2020-05-03,wo_ksnn,28880.51
2020-05-04,wo_ksnn,28243.73
2020-05-04,wo_others,124650.8
2020-05-04,wo_noc,12455.82
2020-05-04,wo_vt_cntt,144.0
2020-05-04,wo_ktts,24.0
2020-05-04,wo_co_dien,318995.21
2020-05-05,wo_ksnn,27645.98
2020-05-05,wo_co_dien,321976.78
2020-05-05,wo_ktts,24.0
2020-05-05,wo_vt_cntt,144.0
2020-05-05,wo_others,124641.77
2020-05-05,wo_noc,14461.88
2020-05-06,wo_ktts,24.0
2020-05-06,wo_others,143931.32
2020-05-06,wo_ksnn,26625.48
2020-05-06,wo_vt_cntt,144.0
2020-05-06,wo_co_dien,315704.51
2020-05-06,wo_noc,16105.22
2020-05-07,wo_ksnn,25363.72
2020-05-07,wo_vt_cntt,144.0
2020-05-07,wo_others,226826.5
2020-05-07,wo_ktts,24.0
2020-05-07,wo_noc,12320.1
2020-05-07,wo_co_dien,308271.73
2020-05-08,wo_others,281937.82
2020-05-08,wo_ksnn,24347.06
2020-05-08,wo_vt_cntt,144.0
2020-05-08,wo_ktts,24.0
2020-05-08,wo_noc,14462.08
2020-05-08,wo_co_dien,301741.33
2020-05-09,wo_noc,16309.11
2020-05-09,wo_co_dien,297032.58
2020-05-09,wo_others,282371.89
2020-05-09,wo_ksnn,23326.51
2020-05-09,wo_ktts,24.0
2020-05-09,wo_vt_cntt,144.0
2020-05-10,wo_vt_cntt,144.0
2020-05-10,wo_co_dien,293349.29
2020-05-10,wo_ksnn,22731.07
2020-05-10,wo_ktts,24.0
