,date,phong_ban,sum_duration
598,2020-04-23,wo_noc,9935.05
599,2020-09-03,wo_vt_cntt,168.0
600,2020-03-31,wo_ksnn,35031.53
601,2020-01-05,wo_co_dien,281805.86
602,2020-01-16,wo_ksnn,6194.42
603,2020-05-07,wo_noc,12320.1
604,2020-08-31,wo_noc,21883.5
605,2020-12-08,wo_vt_cntt,168.0
606,2020-04-19,wo_ktts,24.0
607,2020-12-30,wo_ktts,384.0
608,2020-04-13,wo_noc,11797.25
609,2020-04-05,wo_ksnn,30310.14
610,2020-04-17,wo_co_dien,39952.6
611,2020-08-04,wo_co_dien,234757.77
612,2020-04-21,wo_others,164515.57
613,2020-07-13,wo_others,221328.91
614,2020-04-22,wo_ksnn,34275.07
615,2020-06-11,wo_noc,24711.96
616,2020-11-29,wo_noc,22810.48
617,2020-08-31,wo_ksnn,22633.41
618,2020-08-24,wo_vt_cntt,192.0
619,2020-10-10,wo_vt_cntt,182.31
620,2020-11-28,wo_vt_cntt,168.0
621,2020-02-16,wo_ksnn,21124.8
622,2020-02-28,wo_ksnn,36345.58
623,2020-01-03,wo_ksnn,1776.64
624,2020-02-13,wo_ksnn,24372.48
625,2020-02-26,wo_co_dien,54409.44
626,2020-12-16,wo_noc,23515.77
627,2020-05-01,wo_ksnn,30249.63
628,2020-08-25,wo_vt_cntt,192.0
629,2020-09-09,wo_vt_cntt,168.0
630,2020-05-31,wo_co_dien,121772.52
631,2020-10-29,wo_co_dien,55331.26
632,2020-12-23,wo_co_dien,141422.04
633,2020-08-09,wo_ktts,360.0
634,2020-11-09,wo_ktts,408.0
635,2020-11-23,wo_ktts,384.0
636,2020-01-24,wo_noc,23805.85
637,2020-01-31,wo_noc,29760.86
638,2020-02-26,wo_noc,13170.82
639,2020-09-29,wo_noc,22432.79
640,2020-11-03,wo_vt_cntt,168.0
641,2020-08-26,wo_co_dien,107735.85
642,2020-08-30,wo_co_dien,77351.81
643,2020-08-26,wo_others,329672.01
644,2020-11-25,wo_others,281458.21
645,2020-07-02,wo_noc,25503.46
646,2020-07-21,wo_noc,22546.94
647,2020-08-26,wo_ksnn,32357.79
648,2020-09-29,wo_ksnn,43150.08
649,2020-10-13,wo_vt_cntt,192.0
650,2020-08-01,wo_co_dien,108867.33
651,2020-05-15,wo_others,312890.16
652,2020-10-12,wo_ksnn,45074.95
653,2020-11-17,wo_ksnn,52946.87
654,2020-07-03,wo_vt_cntt,144.0
655,2020-07-07,wo_vt_cntt,144.0
656,2020-09-27,wo_vt_cntt,192.0
657,2020-10-24,wo_vt_cntt,192.0
658,2020-02-26,wo_vt_cntt,76656.0
659,2020-06-29,wo_others,210428.19
